Striker_Id,Runs,Strike Rate,Sixes,Fours
125,136,112.39669421487604,7,9
126,39,97.5,0,5
127,16,66.66666666666666,0,0
128,53,70.66666666666667,0,7
129,31,119.23076923076923,0,3
130,23,95.83333333333334,0,5
131,16,35.55555555555556,0,0
132,241,92.6923076923077,2,26
133,2329,113.99902104747919,29,295
134,0,0.0,0,0
135,1153,110.12416427889207,24,140
136,291,89.2638036809816,3,25
137,79,100.0,1,5
138,121,97.58064516129032,1,14
139,302,120.3187250996016,13,25
140,83,105.0632911392405,1,9
141,3,42.857142857142854,0,0
142,1,50.0,0,0
143,1,100.0,0,0
144,2,25.0,0,0
145,0,0.0,0,0
146,2,40.0,0,0
147,2146,130.45592705167172,109,213
148,99,107.6086956521739,2,10
149,4,133.33333333333331,0,0
150,2,100.0,0,0
151,36,72.0,1,2
152,19,82.6086956521739,0,1
153,67,104.6875,1,6
154,1993,121.97062423500613,78,123
155,62,108.77192982456141,2,5
156,12,63.1578947368421,0,0
157,604,129.6137339055794,19,69
158,1001,132.05804749340368,40,91
159,11,68.75,1,0
160,3,60.0,0,0
161,531,113.46153846153845,16,39
162,3447,146.0593220338983,252,281
163,692,122.69503546099291,23,59
164,19,111.76470588235294,2,1
165,4,80.0,0,0
166,268,110.28806584362141,12,13
167,501,115.97222222222223,20,60
168,103,98.09523809523809,3,12
169,194,112.79069767441861,7,13
170,47,70.1492537313433,0,5
171,514,105.76131687242798,10,43
172,69,78.4090909090909,0,5
173,7,87.5,0,1
174,3,50.0,0,0
175,121,102.54237288135593,2,11
176,167,123.7037037037037,1,19
177,159,110.41666666666667,8,11
178,676,115.1618398637138,26,55
179,1,16.666666666666664,0,0
180,15,93.75,0,1
181,2,50.0,0,0
182,81,114.08450704225352,0,11
183,1474,114.6189735614308,76,119
184,9,64.28571428571429,0,0
185,2511,120.02868068833652,89,237
186,28,93.33333333333333,0,3
187,3373,138.2377049180328,134,338
188,117,104.46428571428572,3,6
189,10,76.92307692307693,0,0
190,126,135.48387096774192,5,11
191,692,121.19089316987741,28,42
192,409,112.36263736263736,5,39
193,0,0.0,0,0
194,81,81.0,4,6
195,2,100.0,0,0
196,2,20.0,0,0
197,663,120.1086956521739,19,59
198,123,119.41747572815532,4,9
199,285,105.1660516605166,9,20
200,6,85.71428571428571,0,1
201,231,94.28571428571428,2,22
202,2,16.666666666666664,0,0
203,390,96.7741935483871,4,50
204,506,124.93827160493827,23,34
205,63,91.30434782608695,1,6
206,8,72.72727272727273,0,0
207,321,123.46153846153847,11,37
208,2325,123.4076433121019,76,198
209,270,114.40677966101696,6,22
210,159,89.32584269662921,1,14
211,217,99.54128440366972,5,19
212,127,90.0709219858156,5,4
213,4,57.14285714285714,0,0
214,798,108.27679782903662,23,93
215,0,0.0,0,0
216,789,119.00452488687783,32,66
217,26,104.0,1,1
218,3,75.0,0,0
219,2,25.0,0,0
220,1,50.0,0,0
221,1959,141.95652173913044,125,131
222,0,0.0,0,0
